LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1986,4.904252686,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1987,0.254226112,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1988,-0.013630003,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1989,0.645214979,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1990,1.475244726,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1991,1.393656029,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1992,1.959283637,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1993,0.00750638,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1994,5.329130076,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1995,3.028575501,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1996,2.904966109,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1997,3.259846754,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1998,2.213109419,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1999,2.948481182,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2000,3.74860819,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2001,0.822799905,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2002,0.467179184,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2003,0.388486668,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2004,2.667839343,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2005,2.341519132,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2006,3.911830357,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2007,0.907577466,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2008,-0.510910059,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2009,-4.905317214,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.867581707,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.33635209,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.228870361,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.935138368,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2014,1.615943981,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.606148953,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.9668197,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.179567265,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.990669239,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.025562704,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1961,7.605112761,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1962,2.981752468,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1963,3.284898029,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1964,5.238894414,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1965,5.30294827,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1966,2.37258348,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1967,2.168751712,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1968,2.303257809,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1969,9.593576908,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1970,7.470325168,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,1971,2.063620262,
