"","filename","type"
"214","PN970_K5_B6_1856.xml","Instruction"
"215","PN970_K5_C4_1840.xml","Religious"
"216","PN970_K5_C4_1856.xml","ProseFiction"
"217","PN970_K5_F55_1856.xml","MetricalTales"
"218","PN970_K5_H5_1856.xml","GeographHistory"
"219","PN970_K5_L5_1856.xml","MetricalTales"
"220","PN970_K5_L54_1856.xml","MetricalTales"
"221","PN970_K5_L58_1856.xml","Religious"
"222","PN970_K5_P3_1848.xml","Religious"
"223","PN970_K5_R4_1848.xml","NurseryRhymes"
"224","PN970_K5_R6_1856.xml","TravelAdventure"
"225","PN970_K5_S4_1848.xml","Religious"
"226","PN970_K5_S5_1848.xml","MetricalTales"
"227","PN970_K5_S8_1856.xml","MetricalTales"
"228","PN970_K5_T9_1856.xml","Religious"
"229","PN970_K5_T9_1856_DUP.xml","Religious"
"230","PN970_K5_W3_1856.xml","Religious"
"231","PN970_K5_Y6_1856.xml","Religious"
"232","PN970_L66_D5_1822.xml","MetricalTales"
"233","PN970_M24_H5_1825.xml","GeographHistory"
"234","PN970_M24_H9_1825.xml","SongBooks"
"235","PN970_M37_A3_1835.xml","MetricalTales"
"236","PN970_M37_G37_1835.xml","Instruction"
"237","PN970_M477_B6_1843.xml","Instruction"
"238","PN970_M477_B6_1850.xml","GeographHistory"
"239","PN970_M477_B66_1850.xml","GeographHistory"
"240","PN970_M477_C4_1843.xml","GeographHistory"
"241","PN970_M477_G5_1843.xml","GeographHistory"
"242","PN970_M477_H5_1843.xml","GeographHistory"
"243","PN970_M477_H57_1843.xml","GeographHistory"
"244","PN970_M477_H57_1843_DUP.xml","GeographHistory"
"245","PN970_M477_H578_1843.xml","GeographHistory"
"246","PN970_M477_M9_1848.xml","MetricalTales"
"247","PN970_M477_R5_1843.xml","JestBooks"
"248","PN970_M477_S8_1843.xml","GeographHistory"
"249","PN970_M48_M5_1840.xml","Religious"
"250","PN970_M48_P5_1837.xml","MetricalTales"
"251","PN970_M66_M43_1832.xml","Instruction"
"252","PN970_M69_L58_1837.xml","RomancesFairyFolk"
