"","Var1","Freq"
"578","preaching  general",2
"579","predatory birds kite",1
"580","predatory birds kite ff fabulous animals",2
"581","preparation  food",3
"582","presentation   christchild   temple usually simeon  anna present luke ",1
"583","prince",2
"584","printing press",1
"585","prison jail",1
"586","prisoner  cell  locked place",2
"587","private religious instruction",1
"588","private soldier",2
"589","private worship  religious study",2
"590","public prayer",1
"591","public punishment death  intended  involved",1
"592","public worship  liturgy   christian churches",2
"593","pulpit ambo chancel",1
"594","pump",1
"595","punishment  school",2
"596","putting   action  killing",2
"597","putting  tying  taking  untying sandals  shoes",1
"598","putting  tying  taking  untying sandals  shoes aa female human figure",1
"599","quail walker  runner birds quail",2
"600","queen empress etc wife   ruler",6
"601","rabbit rodents rabbit",2
"602","railway train",3
"603","rain",1
"604","rainbow",4
"605","ram",4
"606","rat rodents rat",2
"607","raven songbirds raven",1
"608","reading",37
"609","reading  bible   religious books",3
"610","reading  picture book",3
"611","reading  somebody",48
"612","reaping picking mowing harvest",1
"613","reaping picking mowing harvest harvesting agricultural processes",1
"614","reaping picking mowing harvest men labourers",1
"615","reaping picking mowing harvest women labourers",1
"616","red indians american indians",11
"617","reins",1
"618","relation  master  servant",2
"619","requesting  brides parents permission",1
"620","rescuing  victim  informal justice",1
"621","resting bb   doors",23
"622","resting bb   doors biology · human  · mind · resting",1
"623","return  runaway child",1
"624","returning home  school",1
"625","rickshaw",1
"626","riding  animal   horse ass  mule",3
"627","riding  horse ass  mule rider horseman",39
"628","riding  horse ass  mule rider horseman ",1
"629","rifle firearms rifle",2
"630","ritual objects  ritual means hinduism buddhism jainism",1
"631","road path",1
"632","roasting grilling",1
"633","robber",2
"634","robin songbirds robin",5
"635","rocking  baby",2
"636","rockinghorse",1
"637","rocky coast",1
"638","rodents mouse",5
"639","rodents rabbit",2
"640","rodents rat",1
"641","rodents squirrel",4
"642","rose flowers rose",2
"643","rowing facing backward pulling",3
"644","rowingboat canoe etc",11
"645","ruin   dwelling house castle etc",1
"646","ruler   subjects",2
"647","ruler  counsellors",1
"648","ruler commanding",1
"649","runaway child",1
"650","running",3
"651","running games children",1
"652","rural housing eg countryhouse villa cottage",11
"653","rural life",1
"654","russians europeans russians",1
"655","sailingship sailingboat",46
"656","sailor",2
"657","saluting",1
"658","salvaging  wreck",1
"659","saving  endangered fellow man",2
"660","saving  person  drowning",2
"661","scales",1
"662","scorpions",1
"663","scythe agricultural implements scythe",1
"664","sea seascape",1
"665","seaman",1
"666","searching  finding  runaway child",1
"667","selling",7
"668","sermon protestant service",1
"669","setting  fire  conquered city",1
"670","sewing",2
"671","sharpening grinding industrial processes",1
"672","sheep",9
"673","shepherd  sheep  lamb   shoulders",1
"674","ships  general",11
"675","ships  general cc   one ship",1
"676","shipyard shipdock cc   one ship",1
"677","shoes sandals dressing putting  clothes",1
"678","shooting  bow  arrow archery games  skill",4
"679","shopwindow showwindow",2
"680","shorebirds  wadingbirds",2
"681","shorebirds  wadingbirds ibis",1
"682","sickbed",1
"683","simple running games",3
"684","sisters second degree family relationships",2
"685","sitting   elevation",1
"686","sitting figure",6
"687","slate writing material",1
"688","slavetrade",3
"689","sleeping   ground bb   doors",2
"690","sleeping  bed",3
"691","sleeping  chair",1
"692","sleeping unconsciousness bb   doors",2
"693","smith blacksmith",2
"694","smithblacksmith",1
"695","snakes",2
"696","songbirds",2
"697","songbirds blackbird",1
"698","songbirds finch",2
"699","songbirds lark",1
"700","songbirds nightingale",1
"701","songbirds raven",2
"702","songbirds robin",2
"703","songbirds robin ff fabulous animals",2
"704","songbirds sparrow",1
"705","songbirds thrush",1
"706","sow",1
"707","sowing",4
"708","spaniards europeans spaniards",1
"709","spanking drubbing  naughty children",3
"710","sparrow songbirds sparrow",1
"711","sparrowhawk predatory birds sparrowhawk",1
"712","spiders",1
"713","spinningwheel",2
"714","spoon",1
"715","spreading  gospel missionary work",2
"716","spying  someone",1
"717","squirrel rodents squirrel",1
"718","stag hoofed animals stag",1
"719","standing   head    hands",1
"720","standing figure aa female human figure",1
"721","starlinghouse",1
"722","steam locomotive",2
"723","steamsailer",1
"724","steamship motorship",1
"725","stockings socks",1
"726","stork shorebirds  wadingbirds stork",1
"727","storm  land",1
"728","storm  sea",2
"729","story  david  goliath  samuel ",2
"730","story  xenophon",1
"731","street",2
"732","street lighting",1
"733","strolling",12
"734","study  diversion",1
"735","study studiolo library",1
"736","sun  celestial body",2
"737","sun represented  face wheel etc",1
"738","sunrise",6
"739","sunset",1
"740","surrealia surrealistic representations",1
"741","swallow songbirds swallow",3
"742","swan waterbirds swan",4
"743","swearing allegiance   ruler",1
"744","sweeping cleaning  house",1
"745","swimming mammals walrus",1
"746","swinging childrens game",6
"747","symbols divine nature",1
"748","table",1
"749","taking care  children",1
"750","taking leave",1
"751","taming  training  animals",2
"752","taming domestication  animals tamed  domesticated animal",1
"753","teacher  pupil",4
"754","temple  solomon  kings   chronicles ",1
"755","tent",2
"756","textile fabric cloth",1
"757","theft abuse  legal power",1
"758","thistle plants  herbs thistle",2
"759","threatening behaviour challenging",1
"760","throne bb female ruler",1
"761","throwing games",1
"762","tiger beasts  prey predatory animals tiger",1
"763","tightropewalker",1
"764","toddler aa girl",2
"765","tools aids implements crafts  industries knife",1
"766","tormenting animals sport  recreation",2
"767","tower  house  building",2
"768","training  dogs",3
"769","transporting harvest",4
"770","traveller resting   open air",1
"771","trees",20
"772","trees oak",4
"773","trotting horse  motion",3
"774","trunked animals elephant",7
"775","turkey walker  runner birds turkey",1
"776","turks asiatic races  peoples turks",1
"777","twowheeled vehicle drawn  one animal",2
"778","underground road tunnel",1
"779","unicorn",1
"780","university building college",1
"781","unusual manners  living",1
"782","unusual means  transport",1
"783","villa",1
"784","village",4
"785","village square place",2
"786","village street",3
"787","viol rebec violinlike instruments",1
"788","violent death  dagger knife",1
"789","violent death  weapon",2
"790","violin fiddle",1
"791","violin fiddle cc   doors artist  work",1
"792","visiting  sick sick person together  others",6
"793","visiting receiving guests elegant company",1
"794","volcano",1
"795","walker  runner birds guinea hen",1
"796","walker  runner birds partridge",1
"797","walker  runner birds pheasant",1
